metric,subj_id,w1,w2,w3,c,p,r,tau
disc,6,0.289810691506268,0.416253515932822,0.29393579256091,2.06391298478966,1,1,0.167236509238829
disc,7,0.185122288923527,0.555459561900919,0.259418149175554,1.72910461139643,1,1,0.100000000001174
disc,9,0.0714266532523715,0.886328343748118,0.0422450029995109,4.99997017213865,1,1,0.213820207798911
mink,6,0.289810815165841,0.416253260415252,0.293935924418907,2.06391428688182,1,1,0.167236683107549
mink,7,0.185122283583283,0.555459577429008,0.259418138987709,1.72910467584578,1,1,0.100000000001262
mink,9,0.0714266532523715,0.886328343748118,0.0422450029995109,4.99997017213865,1,1,0.213820207798911
