subj_id;trial;block;stim;true_cat;cat0_is_right_key;color_presentation_order;feature_presentation_order;response;time;time_pressure_cond;time_pressure_in_ms
6;1;training;213;0;1;120;201;1;1978;True;NA
6;2;training;222;0;1;120;201;1;2539;True;NA
6;3;training;112;1;1;120;201;1;1130;True;NA
6;4;training;123;1;1;120;201;0;704;True;NA
6;5;training;223;0;1;120;201;1;1067;True;NA
6;6;training;212;1;1;120;201;1;964;True;NA
6;7;training;113;0;1;120;201;1;1322;True;NA
6;8;training;122;1;1;120;201;0;1755;True;NA
6;9;training;112;1;1;120;201;1;776;True;NA
6;10;training;213;0;1;120;201;0;825;True;NA
6;11;training;123;1;1;120;201;0;1116;True;NA
6;12;training;222;0;1;120;201;0;1939;True;NA
6;13;training;223;0;1;120;201;0;2423;True;NA
6;14;training;113;0;1;120;201;0;3396;True;NA
6;15;training;212;1;1;120;201;1;820;True;NA
6;16;training;122;1;1;120;201;1;1554;True;NA
6;17;training;212;1;1;120;201;1;703;True;NA
6;18;training;213;0;1;120;201;1;842;True;NA
6;19;training;112;1;1;120;201;1;1576;True;NA
6;20;training;113;0;1;120;201;0;1676;True;NA
6;21;training;122;1;1;120;201;1;1794;True;NA
6;22;training;223;0;1;120;201;0;946;True;NA
6;23;training;222;0;1;120;201;0;1304;True;NA
6;24;training;123;1;1;120;201;0;1472;True;NA
6;25;training;222;0;1;120;201;0;913;True;NA
6;26;training;213;0;1;120;201;0;2242;True;NA
6;27;training;223;0;1;120;201;0;1264;True;NA
6;28;training;123;1;1;120;201;0;9983;True;NA
6;29;training;113;0;1;120;201;1;800;True;NA
6;30;training;212;1;1;120;201;1;994;True;NA
6;31;training;122;1;1;120;201;1;1901;True;NA
6;32;training;112;1;1;120;201;1;1084;True;NA
6;33;training;222;0;1;120;201;0;818;True;NA
6;34;training;212;1;1;120;201;1;786;True;NA
6;35;training;123;1;1;120;201;0;584;True;NA
6;36;training;113;0;1;120;201;1;725;True;NA
6;37;training;223;0;1;120;201;0;3149;True;NA
6;38;training;213;0;1;120;201;0;1299;True;NA
6;39;training;112;1;1;120;201;1;1476;True;NA
6;40;training;122;1;1;120;201;0;1386;True;NA
6;41;training;212;1;1;120;201;0;3349;True;NA
6;42;training;113;0;1;120;201;0;1094;True;NA
6;43;training;112;1;1;120;201;1;717;True;NA
6;44;training;122;1;1;120;201;1;1370;True;NA
6;45;training;222;0;1;120;201;1;1098;True;NA
6;46;training;213;0;1;120;201;0;1636;True;NA
6;47;training;223;0;1;120;201;1;802;True;NA
6;48;training;123;1;1;120;201;0;1726;True;NA
6;49;training;123;1;1;120;201;1;1073;True;NA
6;50;training;222;0;1;120;201;1;4030;True;NA
6;51;training;213;0;1;120;201;0;1249;True;NA
6;52;training;113;0;1;120;201;1;1123;True;NA
6;53;training;223;0;1;120;201;1;4316;True;NA
6;54;training;122;1;1;120;201;0;678;True;NA
6;55;training;112;1;1;120;201;1;1117;True;NA
6;56;training;212;1;1;120;201;1;2509;True;NA
6;57;training;122;1;1;120;201;0;1218;True;NA
6;58;training;123;1;1;120;201;1;515;True;NA
6;59;training;112;1;1;120;201;1;948;True;NA
6;60;training;212;1;1;120;201;0;1022;True;NA
6;61;training;113;0;1;120;201;0;823;True;NA
6;62;training;223;0;1;120;201;1;1584;True;NA
6;63;training;213;0;1;120;201;1;2404;True;NA
6;64;training;222;0;1;120;201;0;770;True;NA
6;65;training;212;1;1;120;201;1;1876;True;NA
6;66;training;122;1;1;120;201;1;951;True;NA
6;67;training;123;1;1;120;201;0;1512;True;NA
6;68;training;213;0;1;120;201;1;1409;True;NA
6;69;training;222;0;1;120;201;1;1260;True;NA
6;70;training;223;0;1;120;201;1;1761;True;NA
6;71;training;112;1;1;120;201;1;1164;True;NA
6;72;training;113;0;1;120;201;1;1749;True;NA
6;73;training;213;0;1;120;201;0;2320;True;NA
6;74;training;123;1;1;120;201;0;961;True;NA
6;75;training;122;1;1;120;201;1;2191;True;NA
6;76;training;222;0;1;120;201;0;1788;True;NA
6;77;training;112;1;1;120;201;1;873;True;NA
6;78;training;113;0;1;120;201;0;2299;True;NA
6;79;training;212;1;1;120;201;0;2561;True;NA
6;80;training;223;0;1;120;201;0;934;True;NA
6;81;training;222;0;1;120;201;1;773;True;NA
6;82;training;213;0;1;120;201;1;932;True;NA
6;83;training;123;1;1;120;201;0;715;True;NA
6;84;training;112;1;1;120;201;1;536;True;NA
6;85;training;212;1;1;120;201;0;7065;True;NA
6;86;training;122;1;1;120;201;1;421;True;NA
6;87;training;113;0;1;120;201;1;928;True;NA
6;88;training;223;0;1;120;201;0;574;True;NA
6;89;training;223;0;1;120;201;0;1665;True;NA
6;90;training;122;1;1;120;201;1;874;True;NA
6;91;training;212;1;1;120;201;0;1735;True;NA
6;92;training;222;0;1;120;201;0;703;True;NA
6;93;training;213;0;1;120;201;1;1046;True;NA
6;94;training;112;1;1;120;201;1;856;True;NA
6;95;training;123;1;1;120;201;1;2039;True;NA
6;96;training;113;0;1;120;201;1;3645;True;NA
6;97;training;223;0;1;120;201;1;2752;True;NA
6;98;training;123;1;1;120;201;0;626;True;NA
6;99;training;122;1;1;120;201;1;604;True;NA
6;100;training;212;1;1;120;201;1;1010;True;NA
6;101;training;213;0;1;120;201;1;1420;True;NA
6;102;training;222;0;1;120;201;0;2347;True;NA
6;103;training;113;0;1;120;201;1;2358;True;NA
6;104;training;112;1;1;120;201;1;858;True;NA
6;105;training;122;1;1;120;201;1;676;True;NA
6;106;training;112;1;1;120;201;1;1551;True;NA
6;107;training;113;0;1;120;201;1;1145;True;NA
6;108;training;123;1;1;120;201;1;477;True;NA
6;109;training;222;0;1;120;201;0;985;True;NA
6;110;training;213;0;1;120;201;0;860;True;NA
6;111;training;212;1;1;120;201;0;1297;True;NA
6;112;training;223;0;1;120;201;1;817;True;NA
6;113;training;113;0;1;120;201;1;724;True;NA
6;114;training;222;0;1;120;201;0;568;True;NA
6;115;training;123;1;1;120;201;1;557;True;NA
6;116;training;122;1;1;120;201;1;502;True;NA
6;117;training;223;0;1;120;201;1;1044;True;NA
6;118;training;212;1;1;120;201;0;273;True;NA
6;119;training;112;1;1;120;201;1;214;True;NA
6;120;training;213;0;1;120;201;1;974;True;NA
6;121;training;112;1;1;120;201;1;2114;True;NA
6;122;training;123;1;1;120;201;1;1703;True;NA
6;123;training;212;1;1;120;201;0;747;True;NA
6;124;training;222;0;1;120;201;1;988;True;NA
6;125;training;223;0;1;120;201;0;1038;True;NA
6;126;training;113;0;1;120;201;1;885;True;NA
6;127;training;213;0;1;120;201;0;1512;True;NA
6;128;training;122;1;1;120;201;1;1268;True;NA
6;129;training;222;0;1;120;201;1;1535;True;NA
6;130;training;213;0;1;120;201;0;1716;True;NA
6;131;training;212;1;1;120;201;1;1066;True;NA
6;132;training;223;0;1;120;201;0;1104;True;NA
6;133;training;122;1;1;120;201;1;977;True;NA
6;134;training;123;1;1;120;201;0;720;True;NA
6;135;training;112;1;1;120;201;1;925;True;NA
6;136;training;113;0;1;120;201;0;2357;True;NA
6;137;training;122;1;1;120;201;1;762;True;NA
6;138;training;223;0;1;120;201;0;3841;True;NA
6;139;training;213;0;1;120;201;0;1214;True;NA
6;140;training;212;1;1;120;201;1;5064;True;NA
6;141;training;123;1;1;120;201;1;2912;True;NA
6;142;training;113;0;1;120;201;1;950;True;NA
6;143;training;112;1;1;120;201;1;1162;True;NA
6;144;training;222;0;1;120;201;0;1119;True;NA
6;145;training;212;1;1;120;201;1;4720;True;NA
6;146;training;222;0;1;120;201;0;1887;True;NA
6;147;training;213;0;1;120;201;0;2115;True;NA
6;148;training;112;1;1;120;201;1;1246;True;NA
6;149;training;123;1;1;120;201;0;930;True;NA
6;150;training;113;0;1;120;201;1;2041;True;NA
6;151;training;223;0;1;120;201;0;1203;True;NA
6;152;training;122;1;1;120;201;1;8428;True;NA
6;153;training;113;0;1;120;201;0;1147;True;NA
6;154;training;212;1;1;120;201;1;3957;True;NA
6;155;training;222;0;1;120;201;1;523;True;NA
6;156;training;213;0;1;120;201;1;1120;True;NA
6;157;training;122;1;1;120;201;1;650;True;NA
6;158;training;223;0;1;120;201;0;614;True;NA
6;159;training;123;1;1;120;201;1;801;True;NA
6;160;training;112;1;1;120;201;1;1177;True;NA
6;161;training;122;1;1;120;201;0;1969;True;NA
6;162;training;123;1;1;120;201;0;922;True;NA
6;163;training;112;1;1;120;201;1;630;True;NA
6;164;training;213;0;1;120;201;1;5471;True;NA
6;165;training;212;1;1;120;201;0;408;True;NA
6;166;training;113;0;1;120;201;0;1112;True;NA
6;167;training;223;0;1;120;201;0;701;True;NA
6;168;training;222;0;1;120;201;0;1600;True;NA
6;169;training;212;1;1;120;201;1;1803;True;NA
6;170;training;213;0;1;120;201;0;1258;True;NA
6;171;training;123;1;1;120;201;0;1274;True;NA
6;172;training;113;0;1;120;201;0;1911;True;NA
6;173;training;222;0;1;120;201;0;2465;True;NA
6;174;training;122;1;1;120;201;1;1274;True;NA
6;175;training;112;1;1;120;201;1;1693;True;NA
6;176;training;223;0;1;120;201;1;1681;True;NA
6;177;training;112;1;1;120;201;1;816;True;NA
6;178;training;113;0;1;120;201;0;1230;True;NA
6;179;training;222;0;1;120;201;0;1226;True;NA
6;180;training;223;0;1;120;201;0;6749;True;NA
6;181;training;212;1;1;120;201;1;1036;True;NA
6;182;training;123;1;1;120;201;0;3467;True;NA
6;183;training;213;0;1;120;201;0;1525;True;NA
6;184;training;122;1;1;120;201;1;1268;True;NA
6;185;training;213;0;1;120;201;0;1544;True;NA
6;186;training;222;0;1;120;201;0;1134;True;NA
6;187;training;212;1;1;120;201;1;988;True;NA
6;188;training;112;1;1;120;201;1;1087;True;NA
6;189;training;123;1;1;120;201;1;5936;True;NA
6;190;training;122;1;1;120;201;1;1543;True;NA
6;191;training;223;0;1;120;201;0;3245;True;NA
6;192;training;113;0;1;120;201;0;2719;True;NA
6;193;training;122;1;1;120;201;1;714;True;NA
6;194;training;222;0;1;120;201;0;497;True;NA
6;195;training;213;0;1;120;201;0;1335;True;NA
6;196;training;123;1;1;120;201;1;5374;True;NA
6;197;training;113;0;1;120;201;1;2939;True;NA
6;198;training;212;1;1;120;201;1;1335;True;NA
6;199;training;112;1;1;120;201;1;724;True;NA
6;200;training;223;0;1;120;201;1;3963;True;NA
6;201;training;212;1;1;120;201;1;4430;True;NA
6;202;training;112;1;1;120;201;1;1672;True;NA
6;203;training;123;1;1;120;201;0;3291;True;NA
6;204;training;222;0;1;120;201;0;1073;True;NA
6;205;training;223;0;1;120;201;0;2377;True;NA
6;206;training;113;0;1;120;201;1;2438;True;NA
6;207;training;213;0;1;120;201;0;879;True;NA
6;208;training;122;1;1;120;201;1;3406;True;NA
6;209;training;112;1;1;120;201;1;495;True;NA
6;210;training;122;1;1;120;201;1;1169;True;NA
6;211;training;213;0;1;120;201;0;1073;True;NA
6;212;training;212;1;1;120;201;1;2468;True;NA
6;213;training;113;0;1;120;201;0;660;True;NA
6;214;training;222;0;1;120;201;0;2220;True;NA
6;215;training;123;1;1;120;201;0;1342;True;NA
6;216;training;223;0;1;120;201;0;2720;True;NA
6;217;training;213;0;1;120;201;0;1623;True;NA
6;218;training;113;0;1;120;201;1;1166;True;NA
6;219;training;123;1;1;120;201;1;3824;True;NA
6;220;training;222;0;1;120;201;0;1152;True;NA
6;221;training;212;1;1;120;201;1;3527;True;NA
6;222;training;122;1;1;120;201;1;1750;True;NA
6;223;training;223;0;1;120;201;0;9899;True;NA
6;224;training;112;1;1;120;201;1;1083;True;NA
6;225;training;223;0;1;120;201;0;4606;True;NA
6;226;training;123;1;1;120;201;0;1989;True;NA
6;227;training;113;0;1;120;201;0;4611;True;NA
6;228;training;213;0;1;120;201;0;1326;True;NA
6;229;training;112;1;1;120;201;1;1143;True;NA
6;230;training;212;1;1;120;201;1;1240;True;NA
6;231;training;222;0;1;120;201;0;1545;True;NA
6;232;training;122;1;1;120;201;1;1286;True;NA
6;233;training;112;1;1;120;201;1;817;True;NA
6;234;training;222;0;1;120;201;0;734;True;NA
6;235;training;223;0;1;120;201;0;1825;True;NA
6;236;training;113;0;1;120;201;1;831;True;NA
6;237;training;123;1;1;120;201;0;1360;True;NA
6;238;training;212;1;1;120;201;1;1338;True;NA
6;239;training;122;1;1;120;201;1;1511;True;NA
6;240;training;213;0;1;120;201;0;1173;True;NA
6;241;training;123;1;1;120;201;1;1617;True;NA
6;242;training;113;0;1;120;201;1;981;True;NA
6;243;training;122;1;1;120;201;0;840;True;NA
6;244;training;112;1;1;120;201;1;832;True;NA
6;245;training;222;0;1;120;201;0;958;True;NA
6;246;training;223;0;1;120;201;0;1030;True;NA
6;247;training;212;1;1;120;201;1;1594;True;NA
6;248;training;213;0;1;120;201;1;2725;True;NA
6;249;training;112;1;1;120;201;1;1365;True;NA
6;250;training;213;0;1;120;201;0;1461;True;NA
6;251;training;222;0;1;120;201;0;1368;True;NA
6;252;training;123;1;1;120;201;0;3031;True;NA
6;253;training;122;1;1;120;201;1;1251;True;NA
6;254;training;223;0;1;120;201;0;1910;True;NA
6;255;training;212;1;1;120;201;1;880;True;NA
6;256;training;113;0;1;120;201;1;1955;True;NA
6;257;training;113;0;1;120;201;0;1057;True;NA
6;258;training;213;0;1;120;201;0;1319;True;NA
6;259;training;112;1;1;120;201;1;1029;True;NA
6;260;training;122;1;1;120;201;0;836;True;NA
6;261;training;212;1;1;120;201;1;1260;True;NA
6;262;training;123;1;1;120;201;0;1633;True;NA
6;263;training;222;0;1;120;201;0;898;True;NA
6;264;training;223;0;1;120;201;0;1116;True;NA
6;265;training;123;1;1;120;201;1;3741;True;NA
6;266;training;222;0;1;120;201;0;762;True;NA
6;267;training;223;0;1;120;201;0;4555;True;NA
6;268;training;213;0;1;120;201;0;2921;True;NA
6;269;training;112;1;1;120;201;1;927;True;NA
6;270;training;122;1;1;120;201;1;1396;True;NA
6;271;training;113;0;1;120;201;1;1156;True;NA
6;272;training;212;1;1;120;201;1;1263;True;NA
6;273;training;123;1;1;120;201;1;3609;True;NA
6;274;training;212;1;1;120;201;1;1109;True;NA
6;275;training;113;0;1;120;201;1;872;True;NA
6;276;training;112;1;1;120;201;1;712;True;NA
6;277;training;122;1;1;120;201;1;1035;True;NA
6;278;training;223;0;1;120;201;0;771;True;NA
6;279;training;222;0;1;120;201;0;1028;True;NA
6;280;training;213;0;1;120;201;0;3333;True;NA
6;281;training;212;1;1;120;201;1;2366;True;NA
6;282;training;113;0;1;120;201;0;2915;True;NA
6;283;training;112;1;1;120;201;1;3263;True;NA
6;284;training;222;0;1;120;201;0;910;True;NA
6;285;training;123;1;1;120;201;1;1958;True;NA
6;286;training;223;0;1;120;201;0;1185;True;NA
6;287;training;122;1;1;120;201;1;806;True;NA
6;288;training;213;0;1;120;201;0;1341;True;NA
6;289;training;113;0;1;120;201;1;1808;True;NA
6;290;training;223;0;1;120;201;0;1819;True;NA
6;291;training;222;0;1;120;201;0;1582;True;NA
6;292;training;123;1;1;120;201;0;1714;True;NA
6;293;training;122;1;1;120;201;1;1089;True;NA
6;294;training;112;1;1;120;201;1;773;True;NA
6;295;training;213;0;1;120;201;0;932;True;NA
6;296;training;212;1;1;120;201;1;1666;True;NA
6;297;training;223;0;1;120;201;0;2643;True;NA
6;298;training;213;0;1;120;201;1;1692;True;NA
6;299;training;123;1;1;120;201;1;1968;True;NA
6;300;training;222;0;1;120;201;0;852;True;NA
6;301;training;122;1;1;120;201;1;6819;True;NA
6;302;training;212;1;1;120;201;1;1316;True;NA
6;303;training;112;1;1;120;201;1;1849;True;NA
6;304;training;113;0;1;120;201;0;1574;True;NA
6;305;training;222;0;1;120;201;0;767;True;NA
6;306;training;122;1;1;120;201;1;1363;True;NA
6;307;training;223;0;1;120;201;0;1488;True;NA
6;308;training;112;1;1;120;201;1;807;True;NA
6;309;training;213;0;1;120;201;1;2430;True;NA
6;310;training;113;0;1;120;201;0;862;True;NA
6;311;training;123;1;1;120;201;0;2267;True;NA
6;312;training;212;1;1;120;201;1;837;True;NA
