subj_id;trial;block;stim;true_cat;cat0_is_right_key;color_presentation_order;feature_presentation_order;response;time;time_pressure_cond;time_pressure_in_ms
9;1;training;223;0;0;102;102;0;31125;True;NA
9;2;training;222;0;0;102;102;1;3711;True;NA
9;3;training;123;1;0;102;102;0;19841;True;NA
9;4;training;213;0;0;102;102;0;7129;True;NA
9;5;training;122;1;0;102;102;1;5825;True;NA
9;6;training;212;1;0;102;102;1;4019;True;NA
9;7;training;113;0;0;102;102;1;6009;True;NA
9;8;training;112;1;0;102;102;1;4206;True;NA
9;9;training;113;0;0;102;102;1;3993;True;NA
9;10;training;112;1;0;102;102;1;3440;True;NA
9;11;training;122;1;0;102;102;0;3774;True;NA
9;12;training;213;0;0;102;102;0;4765;True;NA
9;13;training;212;1;0;102;102;1;2264;True;NA
9;14;training;123;1;0;102;102;0;2541;True;NA
9;15;training;222;0;0;102;102;1;3214;True;NA
9;16;training;223;0;0;102;102;1;3659;True;NA
9;17;training;213;0;0;102;102;1;2902;True;NA
9;18;training;112;1;0;102;102;0;1946;True;NA
9;19;training;222;0;0;102;102;1;4827;True;NA
9;20;training;123;1;0;102;102;0;2559;True;NA
9;21;training;212;1;0;102;102;1;3841;True;NA
9;22;training;122;1;0;102;102;1;2634;True;NA
9;23;training;113;0;0;102;102;1;3829;True;NA
9;24;training;223;0;0;102;102;1;1944;True;NA
9;25;training;112;1;0;102;102;0;2747;True;NA
9;26;training;122;1;0;102;102;1;2657;True;NA
9;27;training;123;1;0;102;102;0;3313;True;NA
9;28;training;213;0;0;102;102;1;13788;True;NA
9;29;training;113;0;0;102;102;1;4307;True;NA
9;30;training;222;0;0;102;102;0;3383;True;NA
9;31;training;212;1;0;102;102;0;3553;True;NA
9;32;training;223;0;0;102;102;1;4993;True;NA
9;33;training;223;0;0;102;102;1;3089;True;NA
9;34;training;122;1;0;102;102;0;2414;True;NA
9;35;training;212;1;0;102;102;1;1851;True;NA
9;36;training;112;1;0;102;102;0;3783;True;NA
9;37;training;123;1;0;102;102;0;6013;True;NA
